Date : 2021-05-26 08:08:11
Directory : c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition
Total : 707 files,  67319 codes, 1708 comments, 14390 blanks, all 83417 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Properties         |         96 |     25,506 |         10 |      2,933 |     28,449 |
| GDScript           |        403 |     14,861 |        955 |      7,056 |     22,872 |
| JSON               |        107 |     12,024 |          9 |      1,071 |     13,104 |
| Markdown           |         67 |      8,550 |          0 |      1,313 |      9,863 |
| CSS                |          9 |      3,454 |         86 |        837 |      4,377 |
| HTML               |          7 |      1,324 |        193 |        475 |      1,992 |
| Rust               |          7 |        886 |          9 |        416 |      1,311 |
| JavaScript         |          4 |        515 |        131 |        215 |        861 |
| PHP                |          2 |         73 |         18 |         28 |        119 |
| JSON with Comments |          1 |         43 |        297 |         15 |        355 |
| YAML               |          1 |         42 |          0 |         13 |         55 |
| Shell Script       |          2 |         35 |          0 |         15 |         50 |
| Python             |          1 |          6 |          0 |          3 |          9 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                   |        707 |     67,319 |      1,708 |     14,390 |     83,417 |
| VSCodeSetup                                                                                                                                                                         |          3 |        109 |          9 |         71 |        189 |
| VSCodeSetup\Settings                                                                                                                                                                |          2 |         75 |          9 |         56 |        140 |
| Workspaces                                                                                                                                                                          |        635 |     58,025 |      1,402 |     12,919 |     72,346 |
| Workspaces\DevCLI                                                                                                                                                                   |          8 |        887 |          9 |        416 |      1,312 |
| Workspaces\DevCLI\Cargo                                                                                                                                                             |          7 |        886 |          9 |        416 |      1,311 |
| Workspaces\DevCLI\Cargo\src                                                                                                                                                         |          7 |        886 |          9 |        416 |      1,311 |
| Workspaces\DioJSONes                                                                                                                                                                |         89 |      4,928 |          1 |      1,427 |      6,356 |
| Workspaces\DioJSONes\GameData                                                                                                                                                       |          1 |          1 |          0 |          0 |          1 |
| Workspaces\DioJSONes\GameData\Personal                                                                                                                                              |          1 |          1 |          0 |          0 |          1 |
| Workspaces\DioJSONes\Media                                                                                                                                                          |         15 |        125 |          0 |         32 |        157 |
| Workspaces\DioJSONes\Media\presets                                                                                                                                                  |         13 |        112 |          0 |         27 |        139 |
| Workspaces\DioJSONes\Media\presets\EffectButton                                                                                                                                     |          2 |         24 |          0 |          4 |         28 |
| Workspaces\DioJSONes\Media\presets\debugPanel                                                                                                                                       |          3 |         24 |          0 |          6 |         30 |
| Workspaces\DioJSONes\Personal                                                                                                                                                       |          1 |          1 |          0 |          0 |          1 |
| Workspaces\DioJSONes\Src                                                                                                                                                            |         57 |      3,842 |          1 |      1,193 |      5,036 |
| Workspaces\DioJSONes\Src\Backend                                                                                                                                                    |         10 |        201 |          0 |        126 |        327 |
| Workspaces\DioJSONes\Src\Backend\DataStructures                                                                                                                                     |          5 |         80 |          0 |         49 |        129 |
| Workspaces\DioJSONes\Src\Backend\DataStructures\PanelAttributes                                                                                                                     |          3 |         26 |          0 |         17 |         43 |
| Workspaces\DioJSONes\Src\Backend\Parser                                                                                                                                             |          4 |        104 |          0 |         65 |        169 |
| Workspaces\DioJSONes\Src\Backend\Parser\Dynamic SubParser                                                                                                                           |          2 |         15 |          0 |          8 |         23 |
| Workspaces\DioJSONes\Src\Backend\Validator                                                                                                                                          |          1 |         17 |          0 |         12 |         29 |
